countries,death
United States,659874
Brazil,581228
India,439559
Mexico,259326
Peru,198295
Russia,184014
Indonesia,133676
United Kingdom,132742
Italy,129290
Colombia,125016
France,114577
Argentina,112005
Iran,108393
Germany,92757
Spain,84472
South Africa,82496
Poland,75358
Turkey,57000
Ukraine,53833
Chile,36945
Romania,34591
Philippines,33533
Ecuador,32244
Czechia,30404
Hungary,30059
Canada,26962
Bangladesh,26274
Pakistan,25889
Belgium,25380
Tunisia,23538
Iraq,20878
Bulgaria,18950
Bolivia,18452
Netherlands,18012
Portugal,17757
Malaysia,16942
Egypt,16743
Japan,16041
Paraguay,15767
Myanmar,15490
Sweden,14651
Greece,13669
Morocco,12749
Slovakia,12548
Guatemala,12007
Vietnam,11868
Thailand,11841
Switzerland,10971
Austria,10782
Nepal,10770
Jordan,10422
Bosnia and Herzegovina,9815
Kazakhstan,9402
Sri Lanka,9400
Honduras,8932
Saudi Arabia,8552
Croatia,8338
Lebanon,8061
Georgia,7482
Serbia,7307
Afghanistan,7127
Israel,7086
Panama,7061
Moldova,6406
Uruguay,6034
North Macedonia,5964
Azerbaijan,5677
Costa Rica,5523
Cuba,5377
Algeria,5302
Ireland,5112
Armenia,4857
Kenya,4739
Ethiopia,4692
China,4636
Lithuania,4569
Slovenia,4450
Zimbabwe,4438
Libya,4263
Oman,4068
Venezuela,4026
Dominican Republic,4008
Belarus,3791
Palestine,3688
Zambia,3605
Namibia,3386
Uganda,3023
El Salvador,2926
Sudan,2837
Denmark,2584
Latvia,2579
Kyrgyzstan,2532
Albania,2501
Nigeria,2480
Kuwait,2420
South Korea,2292
Botswana,2261
Malawi,2185
United Arab Emirates,2043
Syria,2018
Cambodia,1916
Mozambique,1866
Senegal,1774
Montenegro,1732
Jamaica,1549
Yemen,1480
Bahrain,1388
Cameroon,1357
Trinidad and Tobago,1302
Estonia,1293
Angola,1227
Eswatini,1112
Rwanda,1097
Uzbekistan,1088
DR Congo,1059
Ghana,1036
Finland,1030
Australia,1012
Somalia,977
Madagascar,956
Mongolia,944
Taiwan,836
Luxembourg,830
Norway,822
Suriname,721
Mauritania,717
Guyana,622
Qatar,602
Haiti,586
Mali,539
Guadeloupe,539
Cyprus,507
Fiji,504
Polynésie française,446
Ivory Coast,445
Martinique,442
Malta,441
Lesotho,403
Bahamas,381
Belize,362
La Réunion,342
Guinea,337
Gambia,322
Cape Verde,314
Maldives,226
Guyane,220
Hong Kong,212
Nicaragua,200
Niger,199
Papua New Guinea,192
Togo,185
Congo,183
Mayotte,175
Chad,174
Burkina Faso,171
Gabon,166
Djibouti,157
Liberia,148
Comoros,147
Aruba,146
Curaçao,144
Andorra,130
Benin,128
Equatorial Guinea,126
Tajikistan,124
Sierra Leone,121
South Sudan,120
Guinea-Bissau,119
Seychelles,104
Saint Lucia,104
CAR,100
Gibraltar,97
San Marino,90
Jersey,77
Timor-Leste,72
Liechtenstein,59
Singapore,55
Sint Maarten,51
Tanzania,50
Barbados,50
Antigua and Barbuda,44
Saint-Martin,42
Isle of Man,38
Eritrea,38
Burundi,38
Sao Tome and Principe,37
British Virgin Islands,37
Bermuda,34
Monaco,33
Iceland,33
Mauritius,31
New Zealand,26
Turks and Caicos,20
Caribbean Netherlands,17
Guernsey,16
Laos,14
St. Vincent Grenadines,12
Brunei,11
Wallis and Futuna,7
Dominica,4
Saint Kitts and Nevis,3
Bhutan,3
Grenada,2
Faeroe Islands,2
Cayman Islands,2
Saint-Barthélémy,2
Vanuatu,1
Montserrat,1
Western Sahara,1
