countries,total
United States,40325662
India,32856863
Brazil,20804215
Russia,6937333
United Kingdom,6825074
France,6783329
Turkey,6412277
Argentina,5190948
Iran,5025233
Colombia,4911082
Spain,4861883
Italy,4546487
Indonesia,4100138
Germany,3970033
Mexico,3352410
Poland,2889036
South Africa,2787203
Ukraine,2288371
Peru,2150006
Philippines,2003955
Netherlands,1943882
Iraq,1895459
Malaysia,1765016
Czechia,1679476
Chile,1639123
Bangladesh,1503680
Canada,1503019
Japan,1486153
Thailand,1219531
Belgium,1184664
Pakistan,1163688
Sweden,1127917
Romania,1100208
Israel,1082981
Portugal,1039492
Morocco,866968
Hungary,812531
Jordan,798091
Kazakhstan,793791
Switzerland,776956
Serbia,766279
Nepal,764295
United Arab Emirates,719355
Austria,687076
Tunisia,666168
Cuba,659464
Lebanon,603288
Greece,590832
Georgia,553697
Saudi Arabia,544634
Ecuador,501201
Bolivia,490879
Belarus,483231
Guatemala,475548
Vietnam,473530
Costa Rica,466574
Paraguay,458528
Panama,457487
Bulgaria,457487
Sri Lanka,444130
Azerbaijan,428736
Kuwait,409961
Myanmar,402640
Slovakia,395122
Uruguay,385078
Croatia,374803
Ireland,354236
Dominican Republic,350468
Denmark,346518
Palestine,344957
Honduras,339841
Venezuela,335233
Libya,310637
Ethiopia,309351
Oman,302393
Lithuania,299532
Egypt,288732
Bahrain,272635
Moldova,268105
Slovenia,267962
South Korea,253445
Armenia,242750
Kenya,236881
Qatar,232910
Mongolia,217546
Bosnia and Herzegovina,214759
Zambia,206522
Algeria,196527
Nigeria,193013
North Macedonia,177399
Kyrgyzstan,175876
Norway,161814
Uzbekistan,157136
Botswana,156927
Afghanistan,153306
Albania,147369
Mozambique,146754
Latvia,143106
Estonia,142363
Finland,127861
Namibia,125136
Zimbabwe,124960
Uganda,120075
Ghana,119436
Montenegro,115956
Cyprus,114131
El Salvador,96067
China,94898
Cambodia,93510
Rwanda,88197
Cameroon,84210
Maldives,81301
Luxembourg,75904
Senegal,72920
Jamaica,68482
Singapore,67800
Malawi,60583
Ivory Coast,56148
DR Congo,55146
Australia,55090
La Réunion,50346
Guadeloupe,49381
Angola,47781
Fiji,47006
Trinidad and Tobago,44957
Eswatini,43626
Madagascar,42873
Polynésie française,40178
Sudan,37715
Martinique,37192
Malta,36247
Cape Verde,35506
Guyane,35309
Mauritania,33725
Guinea,29501
Suriname,29293
Syria,28045
Gabon,25888
Guyana,25548
Togo,21561
Haiti,20916
Seychelles,19976
Mayotte,19804
Bahamas,18139
Papua New Guinea,17926
Somalia,17466
Timor-Leste,16941
Tajikistan,16852
Belize,16353
Taiwan,16001
Curaçao,15299
Laos,15289
Andorra,15046
Mali,14895
Aruba,14662
Lesotho,14395
Burkina Faso,13777
Congo,13588
Benin,13366
Burundi,12585
Hong Kong,12114
Djibouti,11757
Nicaragua,11735
South Sudan,11446
CAR,11296
Iceland,10856
Mauritius,10676
Gambia,9715
Equatorial Guinea,9477
Jersey,9350
Saint Lucia,8219
Yemen,7900
Isle of Man,6694
Eritrea,6642
Sierra Leone,6367
Niger,5857
Guinea-Bissau,5799
Liberia,5459
Gibraltar,5367
San Marino,5321
Barbados,5032
Chad,4994
Comoros,4072
Sint Maarten,3719
New Zealand,3645
Liechtenstein,3278
Saint-Martin,3273
Monaco,3211
Bermuda,2923
Brunei,2858
Turks and Caicos,2653
Sao Tome and Principe,2627
Bhutan,2596
British Virgin Islands,2568
St. Vincent Grenadines,2348
Caribbean Netherlands,1791
Antigua and Barbuda,1719
Dominica,1638
Saint-Barthélémy,1520
Tanzania,1367
Guernsey,1299
Saint Kitts and Nevis,1121
Faeroe Islands,1001
Cayman Islands,688
Grenada,539
Wallis and Futuna,445
Greenland,343
Anguilla,217
New Caledonia,136
Falkland Islands,66
Macao,63
Saint Pierre Miquelon,30
Montserrat,29
Vatican City,27
Solomon Islands,20
Western Sahara,10
Vanuatu,4
Marshall Islands,4
American Samoa,4
Saint Helena,2
